,station_id,arrival_time,returns
420,12,540-555,2
421,12,555-570,1
422,12,570-585,1
423,12,630-645,2
424,12,660-675,1
425,12,780-795,1
426,12,810-825,1
427,12,840-855,1
428,12,855-870,1
429,12,930-945,1
430,12,945-960,2
431,12,990-1005,1
432,13,1005-1020,2
433,13,1020-1035,1
434,13,1035-1050,1
435,13,105-120,1
436,13,1050-1065,2
437,13,1065-1080,1
438,13,1080-1095,3
439,13,1110-1125,2
440,13,1125-1140,1
441,13,1140-1155,2
442,13,1170-1185,1
443,13,1200-1215,1
444,13,1275-1290,1
445,13,1350-1365,1
446,13,375-390,1
447,13,405-420,1
448,13,465-480,1
449,13,480-495,1
450,13,525-540,1
451,13,585-600,3
452,13,630-645,2
453,13,645-660,3
454,13,675-690,1
455,13,795-810,1
456,13,840-855,1
457,13,855-870,1
458,13,900-915,2
459,13,915-930,1
460,13,930-945,1
461,13,960-975,1
462,13,990-1005,1
463,14,1005-1020,3
464,14,1020-1035,1
465,14,1035-1050,1
466,14,1050-1065,3
467,14,1065-1080,2
468,14,1080-1095,2
469,14,1155-1170,1
470,14,1185-1200,2
471,14,1200-1215,1
472,14,1245-1260,2
473,14,1260-1275,1
474,14,1335-1350,1
475,14,150-165,1
476,14,390-405,1
477,14,465-480,1
478,14,480-495,1
479,14,495-510,1
480,14,525-540,1
481,14,540-555,1
482,14,600-615,1
483,14,645-660,1
484,14,675-690,2
485,14,690-705,1
486,14,705-720,2
487,14,720-735,1
488,14,810-825,1
489,14,825-840,1
490,14,930-945,3
491,14,945-960,1
492,14,960-975,3
493,14,975-990,2
494,15,1005-1020,1
495,15,1020-1035,1
496,15,1035-1050,2
497,15,1065-1080,1
498,15,1080-1095,1
499,15,1095-1110,3
500,15,1110-1125,1
501,15,1125-1140,1
502,15,1185-1200,1
503,15,1200-1215,1
504,15,1245-1260,1
505,15,1380-1395,1
506,15,405-420,2
507,15,450-465,1
508,15,465-480,1
509,15,480-495,1
510,15,525-540,3
511,15,570-585,1
512,15,600-615,1
513,15,630-645,1
514,15,675-690,1
515,15,735-750,2
516,15,795-810,2
517,15,810-825,2
518,15,840-855,1
519,15,900-915,2
520,15,945-960,2
521,15,960-975,1
522,15,975-990,1
523,16,1035-1050,3
524,16,1050-1065,4
525,16,1080-1095,1
526,16,1095-1110,1
527,16,1110-1125,1
528,16,1125-1140,2
529,16,1140-1155,1
530,16,1185-1200,1
531,16,1200-1215,1
532,16,1350-1365,1
533,16,195-210,1
534,16,390-405,1
535,16,420-435,2
536,16,435-450,1
537,16,465-480,1
538,16,525-540,1
539,16,555-570,3
540,16,585-600,1
541,16,630-645,1
542,16,660-675,1
543,16,690-705,1
544,16,735-750,2
545,16,765-780,1
546,16,795-810,1
547,16,810-825,1
548,16,870-885,1
549,16,885-900,1
550,16,90-105,1
551,16,900-915,1
552,16,930-945,1
553,16,945-960,1
554,16,960-975,1
555,16,990-1005,1
556,17,1020-1035,2
557,17,1035-1050,2
558,17,1050-1065,3
559,17,1080-1095,3
560,17,1095-1110,3
561,17,1110-1125,4
562,17,1125-1140,1
563,17,1140-1155,1
564,17,1155-1170,1
565,17,120-135,1
566,17,1200-1215,1
567,17,1215-1230,1
568,17,1230-1245,1
569,17,1245-1260,2
570,17,1380-1395,1
571,17,420-435,1
572,17,450-465,1
573,17,465-480,1
574,17,570-585,1
575,17,630-645,2
576,17,705-720,1
577,17,780-795,1
578,17,795-810,1
579,17,855-870,1
580,17,900-915,2
581,17,945-960,2
